# dotfiles-Offense/install/offensive-packages.txt
# ──────────────────────────────────────────────────────────────────────────────
# The offensive tool layer for Kali (apt). The Core modern-CLI stack lives in
# the normal install/packages.txt; THIS file is the role layer on top of it.
# bootstrap.sh installs these AFTER the OS + Core layers.
#
# Most are in Kali's repos (`sudo apt install <pkg>`). The handful that aren't
# packaged (or move faster than the repo) are flagged → install via their own
# upstream method, same pattern Core already uses for starship/atuin on some
# distros.
#
# ⚠ Authorized engagements only. Installing ≠ permission to use.
# ──────────────────────────────────────────────────────────────────────────────

# ── Network / Active Directory ────────────────────────────────────────────────
netexec              # nxc — successor to CrackMapExec (CME archived 2023)
freerdp-x11          # xfreerdp — the RDP client for the 3389 connect line. NAME CHURN: FreeRDP 2 was freerdp2-x11/xfreerdp; FreeRDP 3 shipped as freerdp3-x11/xfreerdp3 so both could coexist; Debian then dropped the suffix again (Jan 2026) — freerdp-x11 provides `xfreerdp` and it IS FreeRDP 3. Both binaries come out of the `freerdp3` source pkg (`freerdp` as a source pkg died in 2018), and freerdp3-x11 is NOT transitional — it still ships a real /usr/bin/xfreerdp3 alongside. On an older snapshot install freerdp3-x11 and run xfreerdp3. Ships in kali-linux-default, list it for slim installs
# kerbrute          → UPSTREAM: not in apt — grab the release binary or `go install`
#                     github.com/ropnop/kerbrute (see ~/hacktheplanet).
#                     NOTE: upstream FROZEN (last release v1.0.3, Dec 2019). Keep it for the
#                     stealthy pre-auth spray that aborts before the password stage, but nxc
#                     covers userenum/asreproast. NOT a fast-mover — dropped from redup's
#                     go-loop (re-fetching an unchanging @latest was a no-op).
#                     printerbug moved to apt (as `printerbug`, no .py) — see the `krbrelayx` package above.
# PKINITtools       → UPSTREAM (github.com/dirkjanm/PKINITtools): gettgtpkinit.py + getnthash.py,
#                     the cert→NT-hash step of the coerce→ADCS→PKINIT→DCSync chain in
#                     hacktheplanet's AD CS section. Not in apt — git clone / pipx.
#                     NOTE: GOING QUIET — not archived, but last push 2025-01-03, which makes it
#                     the stalest live pointer in this block. Annotated for the same reason
#                     kerbrute and mitm6 are: an unmarked freeze reads as an omission rather than
#                     a judgement. Keep it — PKINIT and UnPAC-the-hash are Kerberos behaviours,
#                     not bugs that get patched out, so the scripts still fire.
#                     ⚠ DELIBERATELY NOT WRITTEN HERE: "certipy supersedes it". certipy-ad is on
#                     the box and `certipy auth -pfx` plausibly covers the same step, but that
#                     could NOT be confirmed from a primary source when this note was written —
#                     its README says only "perform authentication using certificates". Verify
#                     against the Certipy wiki before collapsing the two, rather than trusting
#                     this file for it.

# ── BloodHound CE + collectors ────────────────────────────────────────────────
# BloodHound CE itself is the Postgres-backed web app. The COLLECTORS below are what you
# install on the box; the SERVER now has an apt line of its own:
bloodhound           # ⚠ THE `NOT apt` THIS BLOCK USED TO ASSERT IS FALSE. The header here said CE
#                    # must be stood up with SpecterOps' `bloodhound-cli` (Go binary, curl the
#                    # release / `go install`; NOT apt). kali-rolling carries `bloodhound` at
#                    # 9.6.0-0kali1, migrated 2026-08-24 — six days after upstream cut CE v9.6.0 —
#                    # and the package description is literally "Six Degrees of Domain Admin,
#                    # BloodHound CE". The `bloodhound` name is no longer the legacy pre-CE app it
#                    # was when that header was written, which is how the claim went stale.
#                    # This is the SIXTH instance of the error class this file already records
#                    # fixing for caldera, sliver, evilginx2, `pack` and name-that-hash: a
#                    # `→ UPSTREAM` pointer that outlived the packaging it was reasoning about.
#                    # ⚠ THE HALF THAT MATTERS ON WSL2 IS THE DEPENDENCIES: `Depends: neo4j,
#                    # postgresql, curl, kali-defaults` — NO DOCKER. bloodhound-cli's route is a
#                    # compose stack, which on WSL2 needs Docker Desktop integration standing up
#                    # first; the apt route skips that entirely. That is the reason to prefer this
#                    # line, not merely that it exists.
#                    # kali-linux-EVERYTHING only (the evilginx2 criterion), so a normal box has no
#                    # server without this line. It also settles azurehound's `>= 9.0.0` API
#                    # constraint below on the apt route: 9.6.0 clears it.
#                    # ⚠ CURRENCY, stated as a HABIT not a number (the sliver lesson): kali-dev is
#                    # already carrying 9.7.0~rc4, so this moves. Check the server's own version
#                    # against SpecterOps' releases rather than trusting a head written here.
#                    # ⚠ THE NAME IS SAFE ON BOTH SUITES, which is the thing worth checking before
#                    # trusting a bare `bloodhound` in a manifest: `kali-last-snapshot` carries
#                    # 9.2.2-0kali1 with the SAME "BloodHound CE" description and the same
#                    # Docker-free Depends. So this line cannot pull the legacy pre-CE app on a
#                    # snapshot box — it is older CE, not a different program. That is what makes
#                    # it different from the httpx trap above, where the bare name resolved wrong.
#                    # `bloodhound-cli` remains the right tool if you WANT the compose stack (or
#                    # are off Kali) — it is no longer the only route.
bloodhound-ce-python # CE-compatible collector. NOTE: the 'bloodhound.py' apt pkg
#                    # is the LEGACY (≤4.3.1) collector — its zips don't ingest into CE
#                    # nxc's --bloodhound module also collects (see offensive.zsh `bhce`)
#                    # ⚠ that legacy package installs the binary as `bloodhound-python` (from
#                    # `bloodhound.py`), whose zips do NOT ingest into a CE stack. Deliberately not
#                    # installed here — CE is what this layer stands up. The corpus' bloodhound-collect
#                    # entry used to invoke the legacy name; htpx v2.10.1 (#89) swapped it to
#                    # bloodhound-ce-python, so nothing red-side names the legacy binary any more.
#                    # ⚠ apt WON'T STOP YOU running both: neither package declares Conflicts:/
#                    # Breaks:/Replaces:, and the binaries differ (`bloodhound-python` vs
#                    # `bloodhound-ce-python`), so `apt install bloodhound.py` co-installs cleanly
#                    # alongside this. Upstream's "only one at a time" caveat is a PIP constraint
#                    # (one `bloodhound-python` entry-point per env), not an apt one — verified
#                    # against both packages' control fields, the Homepage-field discipline #276
#                    # settled on. The reason not to install the legacy one is still that its zips
#                    # don't ingest into CE, above — not that apt forbids the pair.
#                    # NOTE: upstream GOING QUIET — dirkjanm/BloodHound.py last moved 2025-10-24 on
#                    # BOTH `master` and the `bloodhound-ce` branch (~10.5 months), and kali's
#                    # 1.9.1-0kali1 IS that head, so apt is not behind. The PKINITtools shape:
#                    # annotated because it is a listed primary with a HAVE_BHPY probe, and an
#                    # unmarked gap on a primary is the class this file keeps correcting — not
#                    # because anything is known to be broken.
#                    # ⚠ DELIBERATELY NOT CLAIMED: that CE 9.x has stopped ingesting 1.9.1's zips.
#                    # The server went 8.5.0 → 9.6.0 in the same window the collector stood still,
#                    # which is the obvious worry, but NO primary source confirms breakage either
#                    # way — so this note says the collector is quiet and stops there. `bhce` in
#                    # offensive.zsh routes through nxc's --bloodhound module, and rusthound-ce is
#                    # the third AD collector, so a broken ingest here is survivable; verify at the
#                    # start of an engagement rather than assuming in either direction.
azurehound           # the ENTRA/M365 collector — the ONE half of the CE graph this block had
#                    # no line for. The AD side is covered three ways (bloodhound-ce-python,
#                    # rusthound-ce, nxc --bloodhound) and the repo carries a full Entra/M365 set
#                    # (ROADtools, AADInternals, TeamFiltration, MSOLSpray, onedrive_enum), but
#                    # nothing FED THE AZURE SIDE into CE. SpecterOps/AzureHound, apt-packaged.
#                    # ADMISSIBLE now because a doc names it (hacktheplanet's M365/Entra fold):
#                    # it was held out for #275's whole cycle on this file's membership rule —
#                    # the trufflehog disposition — until that line landed. Now a plain apt line.
#                    # ⚠ NEEDS BloodHound CE >= 9.0.0 (v2.12.0+ collects Azure Contributor role
#                    # assignments); `bloodhound-cli` stands up a current stack, so this bites a
#                    # pinned/stale CE only. ⚠ v3.0.0 (2026-07-24) FORCE-UPPERCASES object IDs —
#                    # a graph-CONSISTENCY change, not cosmetic: mixing pre- and post-3.0.0
#                    # collections in one graph is the hazard. apt straddles it — kali-rolling is
#                    # 3.0.0-0kali1 (2026-08-05) while an older snapshot is still 2.12.x — the
#                    # same apt-version-skew shape as the chisel RC note added in #276.
#                    # Not a redup candidate: Go, but apt-OWNED, so `up`'s job by redup's own
#                    # ownership rule — same call as kubectl / wpscan / nikto.
# rusthound-ce      → UPSTREAM (cargo install rusthound-ce): a single static Rust
#                     binary that emits CE-ingestible JSON — the fast ALTERNATE to
#                     bloodhound-ce-python on large domains (no Python chain to drop on
#                     a host). Not in Kali apt; not a redup fast-mover — but NOT because collectors
#                     sit still: it releases in BURSTS (seven of them in the eight weeks to Aug
#                     2026). A concrete version pair used to be quoted here and rotted inside two
#                     months, so the cadence is the durable claim. The real reason is mechanical:
#                     it is a CARGO install with no self-updater, and redup's go_fast_movers loop is
#                     go-only. Complement, not replacement.
# SharpHound (the C# collector) is dropped on the target, not installed here.

# ── Web app / API ─────────────────────────────────────────────────────────────
whatweb              # HTTP fingerprint — the first line of the web-enum fold; ships in kali-linux-default, list it for slim installs
burpsuite
ffuf
feroxbuster
gobuster
nikto                # web-server misconfig/known-issue scanner. ALIVE and apt is current — recorded
#                    # because "old Perl scanner" invites the assumption that it is not: upstream
#                    # sullo/nikto pushed 2026-08-28, release 2.6.1 (2026-07-31), and kali-rolling
#                    # imported it within weeks. Not an EOL candidate; do not re-suspect it.
#                    # ⚠ 2.6.x CHANGED THIS TOOL'S NETWORK SIGNATURE: it now sends a STATIC Chrome
#                    # User-Agent by default instead of rotating one per request, and keeps TLS
#                    # connections alive. Nikto was never quiet, but "loud in a new shape" matters
#                    # when you are reasoning about what a defender saw.
wpscan               # WordPress enum/scan (needs a free API token for vuln data); ships in kali-linux-default
#                    # ⚠ KALI MOVED THIS ONE UNDER YOU. kali-rolling jumped 3.8.28 → 4.1.0 in Aug
#                    # 2026 after 3.8.28 had sat since Mar 2025, so an `apt upgrade` since then
#                    # changed the tool, not just its patch level. v4.0.0 BREAKING: Ruby 3.3+ is
#                    # required; PLUGINS ARE NO LONGER SCANNED BY DEFAULT (pass `-e ap`); config and
#                    # cache moved to ~/.config/wpscan and ~/.cache/wpscan/db; and
#                    # --timthumbs-detection, --config-backups-detection, --db-exports-detection and
#                    # --medias-detection were REMOVED outright. v4.1.0 adds an opt-in local vuln DB
#                    # via --enterprise-db-token.
#                    # NOTHING SHIPPED HERE BREAKS — hacktheplanet's line passes `--enumerate
#                    # u,vp,vt` explicitly, so the plugin-default change does not reach it and all
#                    # three selectors survive. Verified rather than assumed. The exposure is a
#                    # removed flag typed from memory.
sqlmap
weevely              # PHP webshell generator/manager (the exploitdev post-exploit webshell); ships in kali-linux-default, list it for slim installs
nuclei               # ProjectDiscovery — templated scanner. `-ai` (2026 AI templates) is NOT
#                    # local: it needs a PD API key + outbound internet, and the template it
#                    # generates lands in your PD cloud account. Know that before you reach
#                    # for it mid-engagement.
httpx-toolkit        # ProjectDiscovery httpx. ⚠ NEVER `apt install httpx` — but the reason is
#                    # sharper than the "bare 'httpx' apt pkg is the python lib" this line used to
#                    # give. THERE IS NO BINARY PACKAGE NAMED `httpx` AT ALL: `apt-cache show httpx`
#                    # returns "E: No packages found". The source package builds `python3-httpx`
#                    # (the Python HTTP client), and THAT is the thing you were being warned about —
#                    # so the bare name does not install the wrong tool, it RESOLVES TO NOTHING.
#                    # That distinction is the hexyl rule (see the note further down): a name that
#                    # cannot resolve is a name this manifest must never carry, and it is why
#                    # `httpx-toolkit` is the only correct entry here.
#                    # ⚠ CURRENCY: apt is TWO minors behind and the gap is widening — kali has sat
#                    # on 1.9.0-0kali2 since 2026-05-18 (upstream's v1.9.0 is 2026-03-09, so the
#                    # shipped code is ~6 months old), while upstream cut v1.10.0 (2026-07-09) and
#                    # v1.11.0 (2026-08-31). The previous wording, "about one minor behind (1.9.x
#                    # against upstream's 1.10.x)", was already stale when written and is the note
#                    # that now carries the standing warning instead of a fixed number.
#                    # Still NOT a redup candidate — apt owns the binary, so `up` is the route.
#                    # ⚠ BUT DO NOT REACH FOR `httpx-toolkit -up` TO CLOSE THAT GAP. Unlike nuclei,
#                    # Kali does NOT patch this one's self-updater out (its only patch renames a
#                    # script in the README), so the flag is live on a dpkg-owned binary and will
#                    # try to overwrite it — the same trap katana's note above describes, and the
#                    # reason redup guards on writability rather than on the flag alone.
#                    # THIS IS ALSO redup's LIVE OWNERSHIP-vs-CURRENCY COUNTER-EXAMPLE (#299).
#                    # offensive.zsh used to teach that distinction with ffuf; kali imported ffuf
#                    # 2.2.1-1 on 2026-09-02 and is now at upstream head, so the example died and
#                    # this entry inherited it. apt owning a tool says nothing about apt keeping it
#                    # current; that gap is still apt's to close, not redup's.
katana               # crawler/spider that feeds the URL list the rest of the web block works on.
#                    # APT NOW — katana 1.7.0-0kali1 MIGRATED to kali-rolling 2026-08-31, on the
#                    # same day rustscan did, so the `→ UPSTREAM (CGO_ENABLED=1 go install …)`
#                    # pointer and its re-check instruction are both retired. apt 1.7.0 IS upstream
#                    # head (v1.7.0, 2026-08-05). kali-linux-EVERYTHING only, so a normal box needs
#                    # this line. The CGO build note is kept for the non-Kali route below.
#                    # ⚠ WHAT THE MIGRATION ACTUALLY BROUGHT IS THE OPPOSITE OF WHAT THIS NOTE
#                    # PREDICTED, and that is the durable lesson. It expected the nuclei shape:
#                    # apt takes the binary, Kali patches the self-updater out, redup's flag probe
#                    # sees no `-update` and skips. Kali's katana packaging has NO debian/patches
#                    # directory at all (nuclei's carries `Disable-update.patch`), so `-update`
#                    # is still present and advertised on the DPKG-OWNED binary. Migrated and NOT
#                    # patched — the branch the flag probe alone does not cover, because the probe
#                    # passes and the update then fails on permissions.
#                    # That is why redup's katana step now asks a SECOND question — can this
#                    # process write the binary and its directory — and treats "no" as a neutral
#                    # skip rather than a red tally (#299; see the guard in offensive/offensive.zsh).
#                    # Do not "fix" that with sudo: escalating overwrites a dpkg-owned
#                    # /usr/bin/katana that the next `apt upgrade` reverts.
#                    # On the NON-Kali route the binary is a `go install` build you own, `-update`
#                    # is live and writable, and redup drives the refresh — which is why katana
#                    # stays in redup at all rather than moving to `up`. Still NOT go_fast_movers:
#                    # that loop's bare `go install` would build it without the documented
#                    # CGO_ENABLED=1 go install github.com/projectdiscovery/katana/cmd/katana@latest
# (wfuzz dropped — unreferenced by any doc; ffuf/feroxbuster/gobuster cover fuzzing)

# ── Service enumeration (the per-port folds in hacktheplanet) ─────────────────
# All ship in kali-linux-default; listed here so a slim install (and anyone
# following the port folds) has the primary command of each fold in PATH.
onesixtyone          # SNMP community-string sweep (SNMP-161 fold)
#                    # NOTE: upstream FROZEN — trailofbits/onesixtyone's last FUNCTIONAL commit is
#                    # 2023-02-16 (packaging/manpage fixes); the only pushes since are a CODEOWNERS
#                    # file and its merge, which is repo hygiene, not development. Latest release
#                    # v0.3.4 (2022-12-28). ⚠ apt is NOT behind: kali's 0.3.4-1 IS that release.
#                    # Keep it, on this block's standing logic — an SNMP community-string sweep
#                    # exercises a PROTOCOL behaviour, not a bug anyone will patch out.
#                    # Not archived, so this is frozen-because-finished, not abandoned.
snmp                 # provides snmpwalk / snmpbulkwalk (SNMP-161 fold)
snmpcheck            # human-readable SNMP enumeration (SNMP-161 fold). PACKAGE is `snmpcheck`,
#                    # the BINARY it ships is `/usr/bin/snmp-check` — the same package/binary split
#                    # as httpx-toolkit and python3-ldapdomaindump above. The manifest carried the
#                    # binary name, which resolves against nothing: `snmp-check` is in no Kali
#                    # component. hacktheplanet's `snmp-check <ip> -c public` was always correct.
#                    # NOTE: upstream FROZEN — nothink.org (Matteo Cantoni), latest 1.9 dated
#                    # 2015-06-29, a static page rather than a repo. ⚠ apt is NOT behind here: kali's
#                    # 1.9-0kali2 IS that release, so there is nothing to chase. Keep it — SNMP
#                    # community-string enumeration is a PROTOCOL behaviour, not a bug anyone will
#                    # patch out, the same reasoning mitm6 and PrintSpoofer are kept on.
#                    # ⚠ THE CLOSING CLAIM THIS NOTE USED TO CARRY WAS FALSE WHEN WRITTEN. It said
#                    # "this block's freezes were otherwise all marked and these two were not" —
#                    # onesixtyone and nbtscan were also frozen and also unmarked, so the block was
#                    # never fully annotated. Both now carry notes of their own (#299), which is
#                    # what makes the claim true rather than the claim making it so.
smtp-user-enum       # SMTP VRFY/EXPN/RCPT user enum (SMTP-25 fold)
#                    # NOTE: upstream FROZEN — pentestmonkey.net, latest v1.2, and like snmpcheck
#                    # above apt is AT that version (1.2-1kali4), not behind it. Deliberately no
#                    # year: the page is a static archive with no changelog and states no release
#                    # date, so any date written here would be invented. Keep it for the same reason
#                    # — VRFY/EXPN/RCPT are SMTP verbs, and a 2007-era enumerator still exercises
#                    # them correctly against a 2026 server that left them enabled.
ssh-audit            # SSH algorithm/config audit (SSH-22 fold)
dnsenum              # DNS enumeration + zone-transfer attempt (DNS-53 fold). ⚠ IF YOU GO LOOKING
#                    # FOR ITS UPSTREAM, the repo the name lands you on is the WRONG one:
#                    # fwaeytens/dnsenum (702 stars) is not archived but has not moved since
#                    # 2019-10-08 and is a version behind. Kali ships 1.3.2-1, whose Homepage field
#                    # names github.com/SparrowOchon/dnsenum2 — "officially mainlined in Kali",
#                    # last push 2024-03-15. Same use-the-FORK trap the kwp-vs-iphelix/pack and
#                    # ConfuserEx-vs-mkaring notes exist to prevent, and the same shape as the
#                    # `pack` line above, where apt's Homepage also names a fork the old note
#                    # did not know about. The fork is itself slow, so the honest status is
#                    # FROZEN FORK, AND APT IS ON IT — the dnscat2 / ptunnel shape, not a live
#                    # upstream. Keep it: zone transfers and brute-forced subdomains have not moved.
#                    # darkoperator/dnsrecon is the maintained analogue and IS in kali apt, but no
#                    # doc and no corpus entry names it, so it stays out on this file's membership
#                    # rule — the trufflehog/PrivescCheck disposition, not a judgement on the tool.
nbtscan              # NetBIOS name sweep (SMB fold)
#                    # NOTE: upstream FROZEN — the dnsenum2 shape. kali's Homepage field points at
#                    # resurrecting-open-source-projects/nbtscan, itself a RESCUE fork of an
#                    # abandoned original, and that fork's last commit is 2022-10-29 (release 1.7.2,
#                    # 2022-01-13). So the maintained-looking name is a rescue that has itself gone
#                    # quiet. ⚠ apt is NOT behind: kali's 1.7.2-3 IS that release.
#                    # Keep it for this block's usual reason — NetBIOS name service answers the same
#                    # queries it always has — and because the SMB fold's alternatives (nxc, smbmap)
#                    # authenticate, while this one just sweeps names pre-credential.
smbclient            # provides BOTH `smbclient` (SMB-445 fold: share listing/browsing) and `rpcclient` (RPC-135 fold) — one Debian package, the primary command of two folds
ftp                  # the plain FTP client (FTP-21 fold: the anonymous/anonymous check). Debian builds it from the tnftp source; ships in kali-system-core, so it is on every Kali — listed for the accounting, not the install
nfs-common           # provides `showmount` (NFS-111/2049 fold: list the exports before you mount one). Also kali-system-core
cifs-utils           # provides `mount.cifs` — the SMB-445 fold's `mount -t cifs` share mount AND the SYSVOL
#                    # mount in the GPP-cpassword block. smbclient BROWSES a share; mounting one is a separate
#                    # package, and nothing else in this file pulls it
bind9-dnsutils       # provides BOTH `dig` and `nslookup` — the DNS-53 zone-transfer fold and the OSINT NS/MX/TXT lines.
#                    # NAME CHURN: the old name `dnsutils` is a TRANSITIONAL binary off the same bind9 source — VIRTUAL-ONLY
#                    # in trixie (provided by bind9-dnsutils, not installable as itself), a real transitional package only in
#                    # sid, and the sole Kali metapackage still naming it is kali-linux-wsl. Pin the
#                    # durable name: bind9-dnsutils is what kali-linux-headless (and so kali-linux-default) actually pulls
netcat-traditional   # `nc` — the reverse-shell listener that is the PRIMARY command of that whole fold
#                    # (hacktheplanet's `rlwrap nc -lvnp 9001`, exploitdev's handler lines). It was named only
#                    # INSIDE rlwrap's comment below and listed nowhere, which is exactly the accounting gap
#                    # `ftp`/`nfs-common` are listed to close. TRADITIONAL, not netcat-openbsd, deliberately:
#                    # Kali installs traditional and points the `nc` alternative at it, and the documented
#                    # `-lvnp` form is a traditional idiom — OpenBSD's nc rejects `-p` alongside `-l`, so
#                    # installing that variant could flip the alternative and break the line above
nasm                 # `nasm` — exploitdev's hand-rolled shellcode fold (`nasm -f elf32`), and what
#                    # `msf-nasm_shell` shells out to. Already pulled by metasploit-framework, so this is
#                    # accounting rather than a gap — but nothing else in this file named it
binutils             # `objdump` — the opcode-extraction step of that same fold. Base-system (rustc, python3
#                    # and dpkg all pull it), listed for the same reason

# ── Fold-primary tools Kali does NOT ship by default ──────────────────────────
# The block above is the "already on the box, listed for slim installs" case. These
# six are the opposite and that is why they get their own block: NO Kali metapackage
# names them (checked against kali-meta's debian/control), so the hacktheplanet line
# that invokes each one fails on a STOCK box, not just a slim one. That makes them the
# only entries here whose absence is a real gap rather than an accounting nicety.
mariadb-client       # `mysql` — Databases fold (MySQL/MariaDB 3306)
postgresql-client    # `psql` — Databases fold (PostgreSQL 5432)
redis-tools          # `redis-cli` — Databases fold (Redis 6379)
mingw-w64            # `i686-w64-mingw32-gcc` — the Windows cross-compile in the searchsploit-fixups
#                    # fold. The sharpest of the six: build-essential gives you NATIVE gcc only, so
#                    # nothing else on the box covers it
gdb                  # `gdb` — exploitdev's Linux debugging fold. Verified absent from a stock kali-rolling
#                    # box: gcc only SUGGESTS it, and no metapackage names it, so `gdb -q ./vuln` fails on a
#                    # default install. (pwndbg/GEF sit on top of it and stay lab setup, not a package here.)
gcc-multilib         # `gcc -m32` — the 32-bit half of that SAME fold, two lines below the mingw one.
